Provenance,Destination,Train,Numéro,Jour,Départ (réel),Départ (prévu),Retard (min),Cause,Arrêts
Paris Est,Nancy ,TGV INOUI,2513,08-03-2023,16:07:00,16:07:00,0,,"['Champagne-Ardenne TGV', 'Nancy']"
Paris Est,Strasbourg ,OUIGO,7693,08-03-2023,16:16:00,16:16:00,0,,"['Metz Ville', 'Strasbourg']"
Paris Est,Mulhouse-Ville ,TER,839557,08-03-2023,16:42:00,16:42:00,0,,"['Nogent-sur-Seine', 'Romilly-sur-Seine', 'Troyes', 'Vendeuvre', 'Bar-sur-Aube', 'Chaumont', 'Langres', 'Culmont - Chalindrey', 'Vesoul', 'Lure', 'Belfort-Ville', 'Altkirch', 'Mulhouse-Ville']"
Paris Est,Freiburg ,TGV INOUI,9591,08-03-2023,17:25:00,17:25:00,0,,"['Strasbourg', 'Offenburg', 'Lahr Schwarzw', 'Ringsheim', 'Freiburg (Breisgau) Hauptbahnhof']"
Paris Est,Strasbourg ,TGV INOUI,2061,08-03-2023,17:25:00,17:25:00,0,,['Strasbourg']
Paris Est,Reims ,TGV INOUI,2747,08-03-2023,17:28:00,17:28:00,0,,['Reims']
Paris Est,Saint-Dizier ,TER,839139,08-03-2023,17:36:00,17:36:00,0,,"['Château-Thierry', 'Dormans', 'Épernay', 'Châlons-en-Champagne', 'Vitry-le-François', 'Saint-Dizier']"
Paris Est,Troyes ,TER,839409,08-03-2023,17:42:00,17:42:00,0,,"['Nogent-sur-Seine', 'Romilly-sur-Seine', 'Troyes']"
Paris Est,Strasbourg ,TGV INOUI,2079,08-03-2023,17:55:00,17:55:00,0,,['Strasbourg']
Paris Est,Stuttgart Hbf ,DB SNCF,9579,08-03-2023,17:55:00,17:55:00,0,,"['Strasbourg', 'Karlsruhe Hauptbahnhof', 'Stuttgart Hbf']"
Paris Est,Saint-Dié-des-Vosges ,TGV INOUI,2593,08-03-2023,18:10:00,18:10:00,0,,"['Meuse TGV', 'Nancy', 'Saint-Dié-des-Vosges']"
Paris Est,Remiremont ,TGV INOUI,2573,08-03-2023,18:10:00,18:10:00,0,,"['Meuse TGV', 'Nancy', 'Épinal', 'Remiremont']"
Paris Est,Reims ,TGV INOUI,2253,08-03-2023,18:28:00,18:28:00,0,,['Reims']
Paris Est,Sedan ,TGV INOUI,2751,08-03-2023,18:28:00,18:28:00,0,,"['Reims', 'Rethel', 'Charleville-Mézières', 'Sedan']"
Paris Est,Saint-Dizier ,TER,839141,08-03-2023,18:35:00,18:35:00,0,,"['Château-Thierry', 'Dormans', 'Épernay', 'Châlons-en-Champagne', 'Vitry-le-François', 'Saint-Dizier']"
Dijon Ville,Lyon Part Dieu ,TER,17819,07-03-2023,21:42:00,21:42:00,0,,[]
Lyon Part Dieu,Chambéry - Challes-les-Eaux ,TER,18503,08-03-2023,07:50:00,07:50:00,0,,"['Bourgoin-Jallieu', 'La Tour-du-Pin', 'Pont-de-Beauvoisin', 'Lépin-le-Lac - La Bauche', 'Chambéry - Challes-les-Eaux']"
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6608,08-03-2023,08:04:00,08:04:00,0,,"['Le Creusot - Montceau-les-Mines - Montchanin TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Lyon Part Dieu,Nice ,TGV INOUI,6805,08-03-2023,08:06:00,08:06:00,0,,"['Valence TGV Rhône-Alpes Sud', 'Avignon TGV', 'Aix-en-Provence TGV', 'Marseille - Saint-Charles', 'Toulon', 'Saint-Raphaël - Valescure', 'Cannes', 'Antibes', 'Nice']"
Lyon Part Dieu,Annecy ,TER,17972,08-03-2023,08:08:00,08:08:00,0,,"['Ambérieu-en-Bugey', 'Aix-les-Bains - Le Revard', 'Albens', 'Rumilly', 'Annecy']"
Saint-Étienne Châteaucreux,Ambérieu-en-Bugey ,TER,886809,08-03-2023,08:12:00,08:12:00,0,,"['Crépieux la Pape', 'Miribel', 'Saint-Maurice-de-Beynost', 'Beynost', 'Montluel', 'La Valbonne', 'Meximieux - Pérouges', 'Ambérieu-en-Bugey']"
Lyon Vaise,Bourg-en-Bresse ,TER,889465,08-03-2023,08:12:00,08:12:00,0,,"['Sathonay - Rillieux', 'Les Échets', 'Mionnay', 'Saint-André-de-Corcy', 'Saint-Marcel-en-Dombes', 'Villars-les-Dombes', 'Marlieux - Châtillon-sur-Chalaronne', 'Saint-Paul-de-Varax', 'Servas - Lent', 'Bourg-en-Bresse']"
Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache ,TGV INOUI,6601,08-03-2023,08:13:00,08:13:00,0,,['Lyon Perrache']
Lyon Part Dieu,Grenoble ,TER,17609,08-03-2023,08:16:00,08:16:00,0,,"['La Verpillière', 'Bourgoin-Jallieu', 'La Tour-du-Pin', 'Voiron', 'Grenoble']"
Lyon Part Dieu,Valence Ville ,TER,886113,08-03-2023,08:20:00,08:20:00,0,,"['Vienne', 'Le Péage-de-Roussillon', 'Tain-l\'Hermitage - Tournon"", \'links\': [], \'coord\': {\'lat\': \'45.072178\', \'lon\': \'4.839708\'}, \'label\': ""Tain-l\'Hermitage - Tournon (Tain-l\'Hermitage)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87761163:LongDistanceTrain\'', 'Valence Ville']"
Ambérieu-en-Bugey,Saint-Étienne Châteaucreux ,TER,886708,08-03-2023,08:24:00,08:24:00,0,,"['Givors Ville', 'Rive-de-Gier', 'Saint-Chamond', 'Saint-Étienne Châteaucreux']"
Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache ,TGV INOUI,6641,08-03-2023,08:28:00,08:28:00,0,,['Lyon Perrache']
Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache ,TGV INOUI,6603,08-03-2023,09:02:00,09:02:00,0,,['Lyon Perrache']
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6610,08-03-2023,09:04:00,09:04:00,0,,['Paris - Gare de Lyon - Hall 1 & 2']
Lyon Part Dieu,Dijon Ville ,TER,17804,08-03-2023,09:18:00,09:18:00,0,,"['Saint-Germain-au-Mont-d\'Or"", \'links\': [], \'coord\': {\'lat\': \'45.888431\', \'lon\': \'4.804206\'}, \'label\': ""Saint-Germain-au-Mont-d\'Or (Saint-Germain-au-Mont-d\'Or)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87721282:LongDistanceTrain\'', 'Villefranche-sur-Saône', 'Belleville sur Saône', 'Mâcon', 'Tournus', 'Chalon-sur-Saône', 'Chagny', 'Beaune', 'Dijon Ville']"
Paris - Gare de Lyon - Hall 1 & 2,Lyon Perrache ,TGV INOUI,6643,08-03-2023,09:28:00,09:28:00,0,,['Lyon Perrache']
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,OUIGO,7802,08-03-2023,09:38:00,09:38:00,0,,['Paris - Gare de Lyon - Hall 1 & 2']
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6612,08-03-2023,10:04:00,10:04:00,0,,"['Le Creusot - Montceau-les-Mines - Montchanin TGV', 'Paris - Gare de Lyon - Hall 1 & 2']"
Lyon Vaise,Bourg-en-Bresse ,TER,889469,08-03-2023,10:12:00,10:12:00,0,,"['Sathonay - Rillieux', 'Les Échets', 'Mionnay', 'Saint-André-de-Corcy', 'Saint-Marcel-en-Dombes', 'Villars-les-Dombes', 'Marlieux - Châtillon-sur-Chalaronne', 'Saint-Paul-de-Varax', 'Servas - Lent', 'Bourg-en-Bresse']"
Lyon Part Dieu,Saint-Étienne Châteaucreux ,TER,886759,08-03-2023,10:24:00,10:24:00,0,,"['Givors Ville', 'Rive-de-Gier', 'Saint-Chamond', 'Saint-Étienne Châteaucreux']"
Lyon Perrache,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6614,08-03-2023,11:04:00,11:04:00,0,,['Paris - Gare de Lyon - Hall 1 & 2']
Lyon Part Dieu,Saint-Étienne Châteaucreux ,TER,886719,08-03-2023,11:24:00,11:24:00,0,,"['Givors Ville', 'Rive-de-Gier', 'Saint-Chamond', 'Saint-Étienne Châteaucreux']"
Lyon Part Dieu,Paris - Gare de Lyon - Hall 1 & 2 ,TGV INOUI,6616,08-03-2023,11:34:00,11:34:00,0,,['Paris - Gare de Lyon - Hall 1 & 2']
