Provenance,Destination,Train,Numéro,Jour,Arrivée (réelle),Arrivée (prévue),Retard (min),Cause,Arrêts
Toulouse Matabiau,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8514,10-03-2023,20:58:00,20:58:00,0,,"['Toulouse Matabiau', 'Agen', 'Bordeaux Saint-Jean', 'Massy TGV', 'Paris - Montparnasse - Hall 1 & 2']"
Brest,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8642,10-03-2023,21:08:00,21:08:00,0,,"['Brest', 'Morlaix', 'Guingamp', 'Saint-Brieuc', 'Rennes', 'Paris - Montparnasse - Hall 1 & 2']"
Rennes,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8020,10-03-2023,21:08:00,21:08:00,0,,"['Rennes', 'Paris - Montparnasse - Hall 1 & 2']"
Poitiers,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8346,10-03-2023,21:20:00,21:20:00,0,,"['Poitiers', 'Futuroscope', 'Châtellerault', 'Saint-Pierre-des-Corps', 'Paris - Montparnasse - Hall 1 & 2']"
Bordeaux Saint-Jean,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8450,10-03-2023,21:40:00,21:40:00,0,,"['Bordeaux Saint-Jean', 'Angoulême', 'Poitiers', 'Saint-Pierre-des-Corps', 'Paris - Montparnasse - Hall 1 & 2']"
Quimper,Paris - Montparnasse - Hall 1 & 2 ,OUIGO,7616,10-03-2023,21:48:00,21:48:00,0,,"['Quimper', 'Lorient', 'Auray', 'Vannes', 'Rennes', 'Laval', 'Le Mans', 'Paris - Montparnasse - Hall 1 & 2']"
Granville,Paris - Montparnasse - Hall 1 & 2 ,TER,3440,10-03-2023,22:06:00,22:06:00,0,,"['Granville', 'Folligny', 'Villedieu-les-Poêles', 'Vire', 'Flers', 'Briouze', 'Argentan', 'Surdon', 'L\'Aigle"", \'links\': [], \'coord\': {\'lat\': \'48.766229\', \'lon\': \'0.620014\'}, \'label\': ""L\'Aigle (L\'Aigle)"", \'equipments\': [], \'id\': \'stop_point:SNCF:87444638:Train\'', 'Verneuil-sur-Avre', 'Dreux', 'Paris - Montparnasse - Hall 1 & 2']"
Nantes,Paris - Montparnasse - Hall 1 & 2 ,TGV INOUI,8886,10-03-2023,22:25:00,22:25:00,0,,"['Nantes', 'Angers-Saint-Laud', 'Le Mans', 'Paris - Montparnasse - Hall 1 & 2']"
Chartres,Paris - Montparnasse - Hall 1 & 2 ,TER,862450,11-03-2023,06:02:00,06:02:00,0,,"['Chartres', 'Maintenon', 'Épernon', 'Rambouillet', 'Versailles Chantiers', 'Paris - Montparnasse - Hall 1 & 2']"
Chartres,Paris - Montparnasse - Hall 1 & 2 ,TER,862404,11-03-2023,07:26:00,07:26:00,0,,"['Chartres', 'La Villette Saint-Prest', 'Jouy', 'Saint-Piat', 'Maintenon', 'Épernon', 'Gazeran', 'Rambouillet', 'Versailles Chantiers', 'Paris - Montparnasse - Hall 1 & 2']"
Chartres,Paris - Montparnasse - Hall 1 & 2 ,TER,862406,11-03-2023,08:02:00,08:02:00,0,,"['Chartres', 'La Villette Saint-Prest', 'Jouy', 'Saint-Piat', 'Maintenon', 'Épernon', 'Gazeran', 'Rambouillet', 'Versailles Chantiers', 'Paris - Montparnasse - Hall 1 & 2']"
Nancy,Paris Est ,TGV INOUI,2536,10-03-2023,11:51:00,11:51:00,0,,"['Nancy', 'Champagne-Ardenne TGV', 'Paris Est']"
Mulhouse-Ville,Paris Est ,TER,839552,10-03-2023,12:25:00,12:25:00,0,,"['Mulhouse-Ville', 'Altkirch', 'Belfort-Ville', 'Lure', 'Vesoul', 'Culmont - Chalindrey', 'Langres', 'Chaumont', 'Bar-sur-Aube', 'Vendeuvre', 'Troyes', 'Romilly-sur-Seine', 'Nogent-sur-Seine', 'Paris Est']"
Colmar,Paris Est ,TGV INOUI,2356,10-03-2023,12:31:30,12:31:30,0,,"['Colmar', 'Strasbourg', 'Paris Est']"
Luxembourg (CFL),Paris Est ,TGV INOUI,2864,10-03-2023,12:37:00,12:37:00,0,,"['Luxembourg (CFL)', 'Thionville', 'Metz Ville', 'Paris Est']"
Nancy,Paris Est ,TGV INOUI,2540,10-03-2023,14:37:30,14:37:30,0,,"['Nancy', 'Meuse TGV', 'Champagne-Ardenne TGV', 'Paris Est']"
Charleville-Mézières,Paris Est ,TGV INOUI,2730,10-03-2023,15:03:00,15:03:00,0,,"['Charleville-Mézières', 'Rethel', 'Reims', 'Paris Est']"
Strasbourg,Paris Est ,OUIGO,7692,10-03-2023,15:28:00,15:28:00,0,,"['Strasbourg', 'Metz Ville', 'Paris Est']"
